739.93,425.8,11.909
775.53,426.53,9.9104
842.56,427.87,11.982
883.6,428.77,10.225
924.55,429.67,12.032
964.56,430.49,10.652
1005.4,431.52,10.317
1087.7,433.06,10.358
1128.5,434,10.627
1169.1,434.93,10.268
1210.1,435.55,10.541
1250.4,436.05,10.056
1291,437.96,10.871
1331.7,438.66,10.916
1372,439.05,10.625
1412.5,440.6,10.65
1452.9,441.79,11.66
1493,442.53,11.588
1574,444.72,10.532
1614.6,445.59,11.213
1654.5,446.46,11.24
1696.5,447.14,11.284
1736.5,448.07,11.034
1804.3,449.58,10.968
1838.9,450.24,11.437
738.47,466.31,11.956
774.63,466.44,11.312
841.97,468.47,11.656
882.58,469.04,10.622
923.53,470.8,10.095
963.56,471,10.439
1004.4,471.93,11.284
1087,473.49,11.39
1127.5,474.54,12
1168.8,475.55,12.063
1208.7,476.38,11.53
1249.4,477.09,11.434
1290.1,478.49,11.562
1330.9,479.43,11.682
1371.1,479.76,10.609
1411.4,480.89,9.6938
1452,481.97,11.601
1492,483,10.854
1573.9,484.95,11.297
1613.3,485.96,11.249
1653.9,487,11.647
1695.1,487.79,10.497
1736.4,488.83,11.109
1804.1,489.88,11.222
1838.1,491.28,11.706
737.1,507.67,12.177
773.58,508.02,11.756
841.19,509.73,12.323
881.91,510.27,11.577
922.6,511.06,12.057
962.88,512.07,11.797
1003.4,512.53,11.642
1086.5,514.89,11.856
1126.7,515.5,11.767
1167.6,516.77,12.343
1208.1,517.91,11.807
1248.9,518.49,10.805
1288.9,519.45,10.812
1329.8,520.45,11.637
1370.1,521.52,12.207
1410.1,522.44,11.73
1450.9,523,11.419
1491,523.57,10.96
1572.9,526,10.774
1612.8,527.34,11.952
1652.3,527.25,11.474
1694.6,528.01,10.698
1736,530.73,10.498
1801.8,530.69,9.8707
1837,531.81,10.113
